A!NET_NAME!REFDES!PIN_NUMBER!FUNC_LOGICAL_PATH!COMP_DEVICE_TYPE!FUNC_SCH_SIZE!FUNC_HAS_FIXED_SIZE!FUNC_DES!PIN_NET_SHORT!PIN_NO_SWAP_PIN!PIN_CDS_PINID!PIN_XNET_PINS!PIN_PIN_SIGNAL_MODEL!
J!f:/pcb/cadence_pcb/fpga_ccd/allegro/fpga_ccd_2.brd!Wed Jun 16 20:18:53 2021!0.00!0.00!21000.00!17000.00!0.01!mils!FPGA_CCD!10.400000 mil!2!OUT OF DATE!
S!+3.3V!C33!1!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS36375\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F66!!!\1\!!!
S!GND!C33!2!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS36375\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F66!!!\2\!!!
S!GND!C34!1!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS39800\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F65!!!\1\!!!
S!N39920!C34!2!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS39800\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F65!!!\2\!!!
S!GND!C35!1!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS39826\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F64!!!\1\!!!
S!N39901!C35!2!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS39826\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F64!!!\2\!!!
S!N39920!C36!1!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS39859\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F63!!!\1\!!!
S!N39901!C36!2!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS39859\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F63!!!\2\!!!
S!GND!C38!1!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS40025\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F62!!!\1\!!!
S!N40100!C38!2!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS40025\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F62!!!\2\!!!
S!+3.3V!C4!1!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS27534\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F61!!!\1\!!!
S!GND!C4!2!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS27534\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F61!!!\2\!!!
S!+3.3V!C5!1!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS26710\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F60!!!\1\!!!
S!GND!C5!2!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS26710\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F60!!!\2\!!!
S!+3.3V!C6!1!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS27258\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F59!!!\1\!!!
S!GND!C6!2!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS27258\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F59!!!\2\!!!
S!+3.3V!C7!1!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS23538\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F58!!!\1\!!!
S!GND!C7!2!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS23538\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F58!!!\2\!!!
S!+3.3V!C8!1!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS26758\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F57!!!\1\!!!
S!GND!C8!2!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS26758\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F57!!!\2\!!!
S!+3.3V!C9!1!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS27278\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F56!!!\1\!!!
S!GND!C9!2!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS27278\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0603_DISCRETE_100NF!!!F56!!!\2\!!!
S!N103582!D1!2!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS103566\@\DISCRETE\.\LED.Normal\(chips)!LED_0603_LED!!!F55!!!\ANODE\!!!
S!GND!D1!1!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS103566\@\DISCRETE\.\LED.Normal\(chips)!LED_0603_LED!!!F55!!!\CATHODE\!!!
S!N45905!IC1!3!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS44187\@\RETHINKERSLIB\.\TCD1304DG_8Z,AW_.Normal\(chips)!TCD1304DG_8Z,AW__DIP1016W62P254L4160H372Q22N_TCD1304DG_8Z_AW_!!!F54!!!\ICG\!!!
S!N46412!IC1!4!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS44187\@\RETHINKERSLIB\.\TCD1304DG_8Z,AW_.Normal\(chips)!TCD1304DG_8Z,AW__DIP1016W62P254L4160H372Q22N_TCD1304DG_8Z_AW_!!!F54!!!\M\!!!
S!GND!IC1!15!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS44187\@\RETHINKERSLIB\.\TCD1304DG_8Z,AW_.Normal\(chips)!TCD1304DG_8Z,AW__DIP1016W62P254L4160H372Q22N_TCD1304DG_8Z_AW_!!!F54!!!\NC_10\!!!
S!GND!IC1!16!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS44187\@\RETHINKERSLIB\.\TCD1304DG_8Z,AW_.Normal\(chips)!TCD1304DG_8Z,AW__DIP1016W62P254L4160H372Q22N_TCD1304DG_8Z_AW_!!!F54!!!\NC_11\!!!
S!GND!IC1!17!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS44187\@\RETHINKERSLIB\.\TCD1304DG_8Z,AW_.Normal\(chips)!TCD1304DG_8Z,AW__DIP1016W62P254L4160H372Q22N_TCD1304DG_8Z_AW_!!!F54!!!\NC_12\!!!
S!GND!IC1!18!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS44187\@\RETHINKERSLIB\.\TCD1304DG_8Z,AW_.Normal\(chips)!TCD1304DG_8Z,AW__DIP1016W62P254L4160H372Q22N_TCD1304DG_8Z_AW_!!!F54!!!\NC_13\!!!
S!GND!IC1!19!@\FPGA_CCD\.\SCHEMATIC1\(sch_1):\INS44187\@\RETHINKERSLIB\.\TCD1304DG_8Z,AW_.Normal\(chips)!TCD1304DG_8Z,AW__DIP1016W62P254L4160H372Q22N_TCD1304DG_8Z_AW_!!!F54!!!\NC_14\!!!
